time_s,time_min,voltage_V,soc_pct,temperature_C,relay_closed,fault_overvoltage,fault_undervoltage,fault_overtemp,current_A
0,0.0,4.0873,99.99,25.0,1,0,0,0,1.5
1,0.02,4.0871,99.97,25.0,1,0,0,0,1.5
2,0.03,4.087,99.96,25.001,1,0,0,0,1.5
3,0.05,4.0868,99.94,25.001,1,0,0,0,1.5
4,0.07,4.0866,99.93,25.001,1,0,0,0,1.5
5,0.08,4.0864,99.92,25.001,1,0,0,0,1.5
6,0.1,4.0862,99.9,25.001,1,0,0,0,1.5
7,0.12,4.0861,99.89,25.002,1,0,0,0,1.5
8,0.13,4.0859,99.88,25.002,1,0,0,0,1.5
9,0.15,4.0857,99.86,25.002,1,0,0,0,1.5
10,0.17,4.0855,99.85,25.002,1,0,0,0,1.5
11,0.18,4.0853,99.83,25.002,1,0,0,0,1.5
12,0.2,4.0852,99.82,25.003,1,0,0,0,1.5
13,0.22,4.085,99.81,25.003,1,0,0,0,1.5
14,0.23,4.0848,99.79,25.003,1,0,0,0,1.5
15,0.25,4.0846,99.78,25.003,1,0,0,0,1.5
16,0.27,4.0844,99.76,25.003,1,0,0,0,1.5
17,0.28,4.0843,99.75,25.004,1,0,0,0,1.5
18,0.3,4.0841,99.74,25.004,1,0,0,0,1.5
19,0.32,4.0839,99.72,25.004,1,0,0,0,1.5
20,0.33,4.0837,99.71,25.004,1,0,0,0,1.5
21,0.35,4.0835,99.69,25.004,1,0,0,0,1.5
22,0.37,4.0833,99.68,25.005,1,0,0,0,1.5
23,0.38,4.0832,99.67,25.005,1,0,0,0,1.5
24,0.4,4.083,99.65,25.005,1,0,0,0,1.5
25,0.42,4.0828,99.64,25.005,1,0,0,0,1.5
26,0.43,4.0826,99.62,25.005,1,0,0,0,1.5
27,0.45,4.0824,99.61,25.006,1,0,0,0,1.5
28,0.47,4.0823,99.6,25.006,1,0,0,0,1.5
29,0.48,4.0821,99.58,25.006,1,0,0,0,1.5
30,0.5,4.0819,99.57,25.006,1,0,0,0,1.5
31,0.52,4.0817,99.56,25.006,1,0,0,0,1.5
32,0.53,4.0815,99.54,25.007,1,0,0,0,1.5
